age,Salary (in €),sexe,is_pregnant,is_parent,weight (in Kg),height (in Cm),is_normal
31,14219,0,0,1,74,180,1
63,13987,0,0,0,89,197,1
94,30171,1,0,0,85,189,1
29,30008,1,0,1,76,198,1
65,6223,1,0,1,75,181,1
65,33182,0,0,0,73,182,1
99,35856,1,0,1,72,180,1
3,0,1,0,0,18,86,1
77,35259,0,0,0,78,180,1
71,269,0,0,1,76,198,1
100,8773,1,0,0,76,189,1
14,0,1,0,0,39,144,1
3,0,1,0,0,17,89,1
83,12980,0,1,0,67,189,1
97,28814,1,0,1,74,190,1
43,26639,0,0,0,66,176,1
64,18056,1,0,1,69,192,1
53,5471,0,1,1,63,182,1
81,11692,0,1,0,83,194,1
94,3175,1,0,1,71,192,1
56,26390,1,0,1,68,176,1
51,10514,1,0,1,90,195,1
48,39535,1,0,1,77,185,1
58,33164,1,0,1,67,182,1
27,11711,1,0,0,62,179,1
87,14799,0,1,1,90,198,1
53,1046,1,0,0,81,185,1
40,34697,0,1,0,89,190,1
92,5478,1,0,0,63,183,1
96,5957,1,0,1,71,179,1
82,16606,0,0,1,88,199,1
34,23807,1,0,0,81,183,1
53,30676,0,1,1,70,175,1
73,15538,0,1,1,91,197,1
6,0,1,0,0,24,101,1
49,21185,1,0,1,68,179,1
95,3842,1,0,1,63,175,1
46,16055,1,0,0,75,197,1
12,0,1,0,0,34,135,1
22,32667,0,0,1,84,197,1
86,34288,0,0,0,77,193,1
83,11308,1,0,0,76,179,1
33,30673,1,0,0,72,187,1
11,0,0,1,0,44,143,1
3,0,1,0,0,16,88,1
21,19761,1,0,1,75,199,1
78,10558,1,0,1,93,195,1
43,5028,0,0,0,65,179,1
46,22632,0,0,1,70,181,1
28,3245,1,0,0,85,196,1
65,12373,0,1,1,70,185,1
27,17023,0,0,1,69,186,1
44,923,1,0,0,72,176,1
97,7628,1,0,0,91,191,1
0,0,1,0,0,16,82,1
35,12317,0,1,1,90,197,1
68,21871,0,1,0,67,177,1
91,23721,1,0,1,77,183,1
92,39227,0,1,0,64,181,1
41,15139,0,0,1,70,187,1
86,15203,1,0,1,72,197,1
19,9508,0,0,1,81,194,1
25,13881,0,0,1,71,190,1
54,5342,0,0,1,85,187,1
33,18893,1,0,1,79,188,1
73,30886,1,0,1,86,199,1
50,9775,1,0,1,75,182,1
38,12165,1,0,1,62,181,1
61,27200,0,0,0,68,183,1
90,2504,0,1,1,64,179,1
62,17373,1,0,0,75,190,1
9,0,1,0,0,38,125,1
29,32899,1,0,1,74,183,1
96,25199,0,0,1,80,183,1
71,12708,1,0,1,70,176,1
95,38155,1,0,0,62,178,1
35,17010,0,0,0,82,188,1
82,12216,1,0,0,63,179,1
30,29483,1,0,0,86,190,1
41,11040,0,0,0,77,198,1
84,28532,1,0,1,59,176,1
83,29862,1,0,1,81,182,1
93,21601,1,0,1,91,191,1
19,15793,1,0,1,80,180,1
26,21452,1,0,0,91,192,1
67,18448,0,0,1,79,189,1
64,21229,1,0,0,70,193,1
27,17339,1,0,1,66,188,1
28,33741,0,0,1,75,192,1
55,28471,1,0,1,72,183,1
79,13881,0,1,1,97,198,1
53,18891,1,0,0,93,194,1
29,38198,1,0,1,77,178,1
