Execution Number,CPU Time(s),ROC AUC,Recall,Specificity
1,2.620633125305176,0.9984121353846499,0.939542842100645,0.9874715261958997
2,2.402263879776001,0.9967292290013908,0.9442811389461677,0.9829157175398633
3,2.5913279056549072,0.997781059544817,0.9407712894309657,0.9851936218678815
4,2.5201478004455566,0.9978322032090937,0.9309656473478699,0.989749430523918
5,2.5038976669311523,0.9978860452200936,0.9447198701355679,0.9851936218678815
6,2.463836193084717,0.9972702725040367,0.9288597376387487,0.9829157175398633
7,2.4132978916168213,0.9970323182985784,0.9322379677971308,0.9829157175398633
8,2.2554869651794434,0.9984570203836111,0.9453560303601983,0.9874715261958997
9,2.3584070205688477,0.9983664758602405,0.936296231299083,0.989749430523918
10,2.35284686088562,0.9981358546618487,0.9439082174351775,0.9851936218678815
