Sample Size,CPU Time(s),ROC AUC,Recall,Specificity,Precision,F1 Score,TN,FP,FN,TP
100,2.2997827529907227,0.9950992526878781,0.8556574386873163,0.9863325740318907,0.9996924496386284,0.9220840622192804,39006,6580,12,866
1100,2.8913581371307373,0.9990863597873582,0.9772517878295968,0.9874715261958997,0.9997531418312388,0.9883744148381515,44549,1037,11,867
2100,2.41323184967041,0.9988428339956108,0.9858289825823717,0.9851936218678815,0.999710809067248,0.9927213686919447,44940,646,13,865
3100,4.443613052368164,0.998832240486254,0.9898214364059141,0.9806378132118451,0.9996233855424356,0.9946982639845687,45122,464,17,861
4100,2.962307929992676,0.9985941613573365,0.9887465449918835,0.9840546697038725,0.9996894892097501,0.9941879059918609,45073,513,14,864
5100,2.7697830200195312,0.9976414450865956,0.9901066116790243,0.979498861047836,0.9996013553916683,0.9948313294173399,45135,451,18,860
6100,2.8118162155151367,0.9970695454894787,0.9924976966612556,0.9806378132118451,0.9996244006981728,0.9960483009895759,45244,342,17,861
7100,2.8224010467529297,0.9978546019853636,0.9963365945685079,0.9749430523917996,0.999515855725006,0.9979236929702177,45419,167,22,856
8100,2.8264832496643066,0.9962884990366403,0.9953933225112973,0.9783599088838268,0.9995814517017293,0.9974829909541553,45376,210,19,859
9100,2.9876201152801514,0.9975255161162756,0.9937042074321063,0.979498861047836,0.9996027980669506,0.9966447751999384,45299,287,18,860
10100,3.060944080352783,0.9964066766292293,0.9971263107094284,0.9669703872437357,0.9993624131562747,0.9982431096958383,45455,131,29,849
11100,3.0184099674224854,0.9969408993109922,0.9969288816741982,0.94874715261959,0.9990107933437383,0.9979687517155813,45446,140,45,833
12100,3.030498743057251,0.9959690947356558,0.9975650418988286,0.9259681093394078,0.998572683355292,0.9980686083005947,45475,111,65,813
13100,3.0182456970214844,0.996617397520539,0.9987276795507393,0.7927107061503417,0.9960183767228178,0.9973711882229233,45528,58,182,696
14100,3.026702880859375,0.9972029637441141,0.9984863773965691,0.8952164009111617,0.9979828542612204,0.9982345523329129,45517,69,92,786
15100,3.029710054397583,0.9963372941398806,0.9989031720264994,0.9271070615034168,0.9985964912280701,0.9987498080845745,45536,50,64,814
16100,3.041606903076172,0.9965014435655275,0.9981134558855789,0.9009111617312073,0.9980915611906903,0.9981025084180625,45500,86,87,791
17100,3.2927041053771973,0.9964126854476263,0.998288948361339,0.7255125284738041,0.9947321252923561,0.9965073630043247,45508,78,241,637
18100,3.253340005874634,0.9953518729074696,0.9988592989075593,0.6719817767653758,0.9937148094801623,0.9962804130929458,45534,52,288,590
19100,3.5252108573913574,0.996212795420246,0.9989470451454394,0.6161731207289294,0.9926539509536785,0.9957905555373329,45538,48,337,541
